order_id,customer_id,payment,order_date,delivery_date,delivery_time,customer_name,gender,age,home_address,zip_code,city,state,country,status
1,64,30811,2021-08-30,2021-09-24,25.0,fulan 64,Prefer not to say,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active
2,473,50490,2021-02-03,2021-02-13,10.0,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active
3,774,46763,2021-10-08,2021-11-03,26.0,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Active
4,433,39782,2021-05-06,2021-05-19,13.0,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active
5,441,14719,2021-03-23,2021-03-24,1.0,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active
6,800,16197,2021-09-09,2021-10-05,26.0,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active
7,626,37666,2021-04-05,2021-04-11,6.0,fulan 626,Prefer not to say,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,Active
8,58,28484,2021-04-12,2021-05-01,19.0,fulan 58,Prefer not to say,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Active
9,852,12896,2021-05-01,2021-05-11,10.0,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active
10,659,21922,2021-10-15,2021-10-16,1.0,fulan 659,Prefer not to say,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Active
11,785,36624,2021-06-15,2021-06-30,15.0,fulan 785,Prefer not to say,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,Active
12,120,55507,2021-06-30,2021-07-11,11.0,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active
13,204,57810,2021-10-15,2021-10-31,16.0,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active
14,957,21270,2021-03-29,2021-04-12,14.0,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active
15,468,15488,2021-09-22,2021-10-08,16.0,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active
16,564,36479,2021-07-07,2021-07-08,1.0,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active
17,614,51822,2021-02-09,2021-02-11,2.0,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active
18,299,22902,2021-01-01,2021-01-03,2.0,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active
19,513,56754,2021-08-30,2021-09-10,11.0,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active
20,789,45129,2021-01-13,2021-01-20,7.0,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active
21,124,11261,2021-04-04,2021-04-17,13.0,fulan 124,Prefer not to say,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,Active
22,180,36088,2021-05-28,2021-06-09,12.0,fulan 180,Prefer not to say,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Active
23,652,45711,2021-05-17,2021-05-22,5.0,fulan 652,Male,63,59 Abbott CircuitApt. 084,9830,North Isabelleside,South Australia,Australia,Active
24,469,14566,2021-09-04,2021-09-20,16.0,fulan 469,Female,78,783 Olivia CrescentSuite 877,5011,Andrewborough,New South Wales,Australia,Active
25,562,47075,2021-07-04,2021-07-08,4.0,fulan 562,Prefer not to say,58,04 Spencer MallApt. 910,8257,West Rubyland,Queensland,Australia,Active
26,732,15964,2021-04-25,2021-05-04,9.0,fulan 732,Prefer not to say,80,905 Stephanie BoulevardApt. 217,8114,Port Aaronton,Queensland,Australia,Active
27,443,35513,2021-05-16,2021-05-28,12.0,fulan 443,Prefer not to say,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,Active
28,206,29968,2021-08-19,2021-09-04,16.0,fulan 206,Prefer not to say,66,09 Kiehn View RdApt. 209,2155,South Clairetown,Queensland,Australia,Active
29,993,57645,2021-03-22,2021-03-28,6.0,fulan 993,Prefer not to say,24,327 Abby CircleApt. 055,536,Michaelberg,Victoria,Australia,Active
30,260,59350,2021-07-07,2021-07-26,19.0,fulan 260,Female,27,01 D'amore ManorSuite 692,3012,Trompview,Tasmania,Australia,Active
31,727,15722,2021-03-11,2021-04-05,25.0,fulan 727,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,Active
32,627,24976,2021-06-17,2021-07-14,27.0,fulan 627,Prefer not to say,51,66 Isla CrescentApt. 573,7404,Port Christopher,South Australia,Australia,Active
33,588,52945,2021-07-01,2021-07-07,6.0,fulan 588,Prefer not to say,48,550 Alexis BoulevardSuite 124,9614,West Danieltown,Victoria,Australia,Active
34,412,36244,2021-05-23,2021-05-30,7.0,fulan 412,Prefer not to say,21,7048 Barrows CrescentSuite 562,238,Hackettchester,South Australia,Australia,Active
35,358,49665,2021-08-31,2021-09-07,7.0,fulan 358,Prefer not to say,64,9937 Oliver CircleApt. 655,6842,Kreigerbury,Northern Territory,Australia,Active
36,51,32494,2021-08-22,2021-09-04,13.0,fulan 51,Prefer not to say,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,Active
37,78,53949,2021-07-07,2021-07-18,11.0,fulan 78,Prefer not to say,38,7812 Towne GroveSuite 233,7232,Lake Alihaven,Northern Territory,Australia,Active
38,809,46219,2021-02-03,2021-02-19,16.0,fulan 809,Prefer not to say,76,443 Holly AvenueSuite 631,8563,South Tyler,Tasmania,Australia,Active
39,466,23990,2021-02-26,2021-03-20,22.0,fulan 466,Male,28,18 Jack JunctionSuite 575,7356,North Justin,South Australia,Australia,Active
40,86,56657,2021-01-07,2021-01-19,12.0,fulan 86,Prefer not to say,76,040 Savannah GroveSuite 967,9337,Gleasonport,Tasmania,Australia,Active
41,790,53386,2021-01-03,2021-01-09,6.0,fulan 790,Prefer not to say,67,107 Wilkinson ParkwaySuite 249,6313,Nathanfort,Australian Capital Territory,Australia,Active
42,690,33993,2021-07-29,2021-08-02,4.0,fulan 690,Prefer not to say,34,04 Christian RidgeApt. 329,6697,Port Annabelle,Northern Territory,Australia,Active
43,570,22839,2021-07-13,2021-08-03,21.0,fulan 570,Prefer not to say,35,164 Bruen MallSuite 043,4468,New Masonstad,New South Wales,Australia,Active
44,849,17071,2021-09-07,2021-09-22,15.0,fulan 849,Male,29,22 Welch DriveSuite 750,8453,Lake Gabrielview,New South Wales,Australia,Active
45,571,21738,2021-05-30,2021-06-21,22.0,fulan 571,Prefer not to say,22,5567 Clarke MallApt. 756,4043,Jordanside,Australian Capital Territory,Australia,Active
46,922,25378,2021-06-22,2021-07-04,12.0,fulan 922,Prefer not to say,53,048 Kayla RoadSuite 099,839,Jordanburgh,Victoria,Australia,Active
47,791,35453,2021-04-21,2021-04-23,2.0,fulan 791,Prefer not to say,34,3285 Kai MewsApt. 727,8839,Elijahshire,Queensland,Australia,Active
48,620,31712,2021-04-16,2021-04-23,7.0,fulan 620,Male,35,150 Nate LoopApt. 614,902,Jettstad,Australian Capital Territory,Australia,Active
49,336,24219,2021-01-22,2021-02-13,22.0,fulan 336,Male,35,745 Jack CourtApt. 737,3647,Port Madison,Australian Capital Territory,Australia,Active
50,454,50310,2021-09-16,2021-09-18,2.0,fulan 454,Prefer not to say,28,3543 Jack GroveApt. 595,3276,Port Isabellafurt,New South Wales,Australia,Active
51,399,18423,2021-02-19,2021-02-26,7.0,fulan 399,Prefer not to say,46,9444 Casper RidgeApt. 537,8209,South Logan,Western Australia,Australia,Active
52,493,32155,2021-10-06,2021-10-29,23.0,fulan 493,Prefer not to say,63,761 Mckenzie BoulevardSuite 489,1696,Port Natalie,Victoria,Australia,Active
53,528,10517,2021-04-22,2021-05-02,10.0,fulan 528,Prefer not to say,63,556 Jacobson PlaceApt. 974,1126,Lake Madelineton,Western Australia,Australia,Active
54,195,13681,2021-04-25,2021-05-17,22.0,fulan 195,Prefer not to say,72,987 Charlotte MewsApt. 591,6036,West Baileyville,New South Wales,Australia,Active
55,873,55650,2021-04-08,2021-04-25,17.0,fulan 873,Prefer not to say,38,5538 Jett MallSuite 854,5510,Samanthatown,Western Australia,Australia,Active
56,587,17149,2021-01-23,2021-02-18,26.0,fulan 587,Prefer not to say,35,985 Ethan AvenueSuite 122,3174,East Declanside,Queensland,Australia,Active
57,163,41495,2021-02-27,2021-03-13,14.0,fulan 163,Prefer not to say,20,8125 Durgan BoulevardSuite 068,9458,Port Elliechester,Australian Capital Territory,Australia,Active
58,332,42861,2021-02-02,2021-02-10,8.0,fulan 332,Male,75,011 Hamilton PlaceSuite 215,5702,East George,Northern Territory,Australia,Active
59,843,21858,2021-01-31,2021-02-27,27.0,fulan 843,Prefer not to say,23,201 Anthony TerraceSuite 543,6272,Lake Addisonland,South Australia,Australia,Active
60,301,31491,2021-02-05,2021-02-28,23.0,fulan 301,Prefer not to say,47,0462 Fisher TrackSuite 627,9359,New Sienna,South Australia,Australia,Active
61,158,42290,2021-04-16,2021-04-28,12.0,fulan 158,Prefer not to say,33,017 Doherty DriveSuite 350,58,Johnschester,New South Wales,Australia,Active
62,93,37952,2021-07-30,2021-08-13,14.0,fulan 93,Prefer not to say,66,4715 Hand View RdSuite 955,4739,Colestad,Queensland,Australia,Active
